event_id,date,lat,lon,dep,mag
1,2018-08-27T21:46:18.220,-17.604,-69.8347,122.72,4.8
2,2018-08-27T04:16:07.610,-9.7583,-78.2991,62.13,4.2
3,2018-08-26T19:58:25.380,-11.2576,-70.6951,610.48,4.8
4,2018-08-24T09:04:06.780,-11.0424,-70.8169,609.48,7.1
5,2018-08-23T22:35:56.180,-9.3519,-76.0277,58.6,4.5
6,2018-08-20T06:13:17.980,-15.6301,-72.022,10,4.5
7,2018-08-17T18:39:13.900,-15.5709,-70.2424,218.44,4.6
8,2018-03-23T04:58:49.440,-4.83,-77.562,61.99,4.2
9,2018-03-16T01:00:36.280,-17.0087,-71.2801,81.66,4.3
10,2018-03-15T20:13:29.710,-8.5223,-71.5,590.04,4.5
11,2018-03-15T05:05:10.110,-17.2741,-71.1561,62.26,4.2
12,2018-03-13T17:35:03.940,-10.2699,-74.9846,35.68,5.1
13,2018-03-11T01:30:27.610,-7.543,-76.1583,108.17,4.1
14,2018-03-10T20:55:00.330,-4.8383,-81.3153,10.62,4
15,2018-03-06T11:38:46.200,-17.4023,-69.7612,163.47,4.2
16,2018-03-04T06:16:19.540,-5.7558,-80.9264,29.68,4.5
17,2018-02-26T06:26:56.490,-15.0975,-71.5136,114.11,4.7
18,2018-02-20T07:08:01.140,-16.5823,-69.7488,175.17,4.7
19,2018-02-19T08:56:23.720,-15.8761,-74.0764,52.32,4.7
20,2018-02-16T08:01:26.640,-5.891,-80.9604,24.82,4.7
21,2018-02-16T00:18:54.040,-5.7796,-81.0561,25.5,4.5
22,2018-02-11T18:06:34.000,-16.0488,-74.7822,10,4.5
23,2018-02-11T04:11:09.680,-16.6587,-74.1634,10,5.4
24,2018-02-07T13:55:09.100,-16.1999,-74.8194,10,4.2
25,2018-02-05T22:30:59.220,-15.9,-74.7325,10,4.7
26,2018-02-05T19:27:05.160,-12.8788,-78.0987,10,4.8
27,2018-02-04T21:47:28.550,-17.3979,-70.8098,40.45,4.7
28,2018-02-04T18:11:42.460,-15.939,-74.9688,51.2,4.4
29,2018-02-02T14:05:03.790,-16.5149,-69.7848,190.5,4.1
30,2018-02-01T05:35:51.950,-8.4029,-79.0973,63.34,4.3
31,2018-01-30T14:23:52.870,-15.8497,-74.6096,34,5.5
32,2018-01-29T11:25:17.860,-15.7262,-74.2296,60.12,4.7
33,2018-01-29T06:50:00.450,-8.3125,-74.2995,172.14,4.3
34,2018-01-28T06:03:47.980,-16.0079,-74.9247,10,4.8
35,2018-01-27T21:19:48.530,-11.2613,-74.2988,10,4.2
36,2018-01-27T20:26:34.390,-15.9063,-74.3703,44.58,4.7
37,2018-01-26T22:27:08.840,-15.8376,-74.6775,30.04,4.6
38,2018-01-26T14:31:07.430,-15.9873,-74.4516,35,4.3
39,2018-01-25T22:03:35.730,-4.8367,-76.5208,44.86,4.5
40,2018-01-23T13:45:34.400,-3.9586,-80.6661,45.15,4.4
41,2018-01-22T07:50:35.480,-7.7542,-78.832,125.12,4
42,2018-01-22T00:53:26.900,-10.5469,-74.9176,113.78,5
43,2018-01-21T06:40:56.980,-15.7426,-74.7467,31.07,5
44,2018-01-19T17:44:25.210,-15.956,-74.7636,10,4.6
45,2018-01-19T04:23:14.440,-15.9849,-74.4826,10,4.3
46,2018-01-19T01:11:39.030,-13.229,-74.578,80.84,5.3
47,2018-01-16T15:02:27.080,-15.7746,-74.595,47.11,4.8
48,2018-01-15T14:27:14.150,-15.524,-71.3668,133.64,4.5
49,2018-01-14T09:50:42.810,-15.8614,-74.4835,47.75,4.4
50,2018-01-14T09:18:45.540,-15.7675,-74.7092,39,7.1
51,2018-01-12T15:03:36.370,-15.5301,-71.1752,166.45,4.5
52,2018-01-03T05:09:12.910,-14.9878,-72.2073,100.46,4.2
53,2018-01-03T00:30:37.310,-8.4208,-74.808,147.72,4.6
54,2017-12-29T10:20:11.800,-10.2216,-74.9138,122.58,4.4
55,2017-12-29T08:11:41.270,-9.441,-74.8967,113.65,4.4
56,2017-12-27T12:49:06.910,-12.5185,-71.6872,30.25,4.3
57,2017-12-27T07:14:47.440,-13.0118,-74.3616,64.76,4.2
58,2017-12-26T18:47:35.060,-5.7259,-79.4438,81.37,4.3
59,2017-12-26T01:45:34.300,-14.1828,-72.8738,71.83,4
60,2017-12-25T02:17:12.010,-11.3094,-77.6612,78.64,4.2
61,2017-12-24T19:33:19.750,-14.186,-74.3524,65.87,4.7
62,2017-12-22T03:57:04.940,-5.3848,-80.5677,10,4.6
63,2017-12-20T18:16:11.200,-18.0344,-69.8686,109.87,4.9
64,2017-12-15T14:14:09.750,-18.0298,-70.1616,94.42,5
65,2017-12-15T11:11:02.400,-8.8034,-75.6284,50.39,4.8
66,2017-12-08T14:19:33.280,-7.3643,-74.9858,135.03,4.3
67,2017-12-07T02:37:45.350,-4.0919,-80.1753,68.62,4.4
68,2017-12-05T04:25:27.740,-15.7794,-71.7389,141.68,4.4
69,2017-12-03T07:51:28.600,-15.1012,-75.4887,24.98,4.5
70,2017-12-03T04:37:20.440,-8.3945,-74.42,176.82,4.2
71,2017-12-01T21:49:08.650,-8.2186,-76.1352,134.03,4.6
72,2017-11-29T06:29:06.970,-14.4095,-76.1594,16.87,5.7
73,2017-11-24T16:15:52.650,-12.1383,-76.1197,90.96,4.4
74,2017-11-24T14:04:58.640,-8.8329,-74.5049,153.36,4.7
75,2017-11-24T07:24:30.210,-11.9213,-77.2585,51.58,3.8
76,2017-11-21T22:44:41.990,-15.4337,-70.3842,221.43,4.3
77,2017-11-19T03:35:48.640,-4.1664,-80.6543,40.57,4.4
78,2017-11-18T23:03:55.200,-4.1696,-80.4735,44.98,4
79,2017-11-17T23:39:56.840,-17.6051,-69.8877,155.96,4.2
80,2017-11-17T00:33:23.540,-7.0553,-80.6116,35,4.6
81,2017-11-16T17:04:33.480,-17.7552,-69.8477,152.85,4.3
82,2017-11-16T12:55:28.460,-15.8279,-73.9659,60.58,4.7
83,2017-11-12T12:10:30.440,-16.1139,-72.1176,95.33,4.2
84,2017-11-08T20:13:10.590,-13.5124,-77.1152,16.57,4.7
85,2017-11-08T08:48:32.380,-14.8469,-75.3327,62.38,4.3
